Month,Year,State Name (state_name),State Code (state_code),Port for Import (port),Import Country (country),Principle Commodity Code (pc_code),Commodity Name (commodity),Quantity Unit Measurement (units),Value of commodity quantity (quantity),Value of commodity quantity in USD (dollars_value),Value of commodity quantity in INR (inr_value)
11,2022,Rajasthan,8,Jaipur A.C.,Kenya,G5,"Pearl, Precs, Semiprecs Stones",None,0,38531,3152236
3,2023,Tamil Nadu,33,Chennai Sea,Korea,L1,"Stationry/Offce, School Supply",None,0,3165,260428
4,2021,Telangana,36,Hyderabad Airport,U S A,K4,Optical Items (Incl.Lens Etc),None,0,10776,802528
5,2019,Tamil Nadu,33,Chennai Air,Bangladesh,M2,Oth Non Ferous Metal And Prodc,None,0,2584,180281
1,2023,Maharashtra,27,Mumbai Air,France,N6,Dairy Machinery,None,0,2413036,197626741
7,2022,Uttar Pradesh,9,Arshiya Northern Ftwzltd Noida,U K,N1,"Ac, Refrigeration Machnry Etc",None,0,10103,804204
11,2019,Kerala,32,Sez Cochin,Malaysia,N6,Dairy Machinery,None,0,805,57496
8,2022,Maharashtra,27,Mumbai Air,Canada,L1,"Stationry/Offce, School Supply",None,0,67,5359
4,2021,Tamil Nadu,33,Icd Irungattukottai,Japan,N1,"Ac, Refrigeration Machnry Etc",None,0,331076,24655975
2,2020,Uttar Pradesh,9,Cfs Albatross/Icd Dadri,Germany,I7,Residul Chemicl And Alled Prod,None,0,2402,171738
11,2019,Tamil Nadu,33,Chennai Air,U A E,L8,"Nickel, Product Made Of Nickel",Ton,0,4050,289347
3,2024,Delhi,7,Delhi (Icd),Germany,P8,Cotton Textiles,None,0,7553,626896
12,2021,Andhra Pradesh,28,Ramki Pharma City (India) Pvt,U S A,H8,"Drug Formulations, Biologicals",Kgs,0,261,19650
4,2024,Maharashtra,27,Mumbai Air,Malaysia,N6,Dairy Machinery,None,0,197762,16494448
9,2023,Gujarat,24,Mundra,China,O9,Computer Hardware,None,0,6045224,502040728
9,2021,Gujarat,24,Ahmedabad Air Cargo Complex,Turkey,N6,Dairy Machinery,None,0,34335,2525792
6,2021,Telangana,36,Icd Hyderabad,China,M6,"Hnd Tool, Cttng Tool Of Metals",None,0,812060,59733735
7,2024,Telangana,36,Hyderabad Airport,Germany,O6,"Railwy Trnsprt Equipmnts, Prts",None,0,294806,24644234
2,2024,West Bengal,19,Kolkata Air,Austria,L4,Products Of Iron And Steel,None,0,2091,173441
7,2023,Maharashtra,27,Mumbai Air,U S A,J7,Books & Printing,None,0,277144,22767959
4,2021,Tamil Nadu,33,Icd Irungattukottai,Belgium,L5,"Aluminium, Products Of Aluminm",Ton,218,356389,26541095
7,2021,Andhra Pradesh,28,Visakhapatnam Sea,Canada,I7,Residul Chemicl And Alled Prod,None,0,87613,6529551
3,2018,Andhra Pradesh,28,Krishnapatnam,China,N4,Electric Machinery And Equipme,None,0,741019,48182020
2,2020,Gujarat,24,Mundra,Croatia,I7,Residul Chemicl And Alled Prod,None,0,25231,1803750
3,2019,Gujarat,24,Ahmedabad Air Cargo Complex,Italy,L6,Copper And Prdcts Made Of Copr,None,0,5881,408595
5,2021,Delhi,7,Delhi Air,Italy,G9,Gold And Oth Precs Metl Jwlery,Kgs,115804,290178,21260689
5,2024,Maharashtra,27,Seepz,Singapore,L6,Copper And Prdcts Made Of Copr,None,0,40332,3363677
4,2020,Maharashtra,27,Telegaon,China,N6,Dairy Machinery,None,0,504203,38438704
2,2021,Uttar Pradesh,9,Cfs Albatross/Icd Dadri,Japan,M2,Oth Non Ferous Metal And Prodc,None,0,4696,341653
3,2024,Delhi,7,Delhi (Icd),Japan,I9,Othr Rubber Prodct Excpt Footw,None,0,1888246,156719904
3,2021,Gujarat,24,Pipavab(Vicyor),Brazil,L4,Products Of Iron And Steel,None,0,2801,203921
5,2024,Uttar Pradesh,9,"Icd Patparganj, Gazipur, Nr Ga",Taiwan,N6,Dairy Machinery,None,0,346116,28865934
