Month (month),State Name (state_name),State Code (state_code),Port for Import (port),Import Country (country),Principle Commodity Code (pc_code),Commodity Name (commodity),Quantity Unit Measurement (units),Value of commodity quantity (quantity),Value of commodity quantity in USD (dollars_value),Value of commodity quantity in INR (inr_value)
01-03-20,Delhi,7,Delhi Air,Germany,S6,Petroleum Products,Ton,1,4926,366233
01-01-24,Karnataka,29,"Kiadb Aerospace Sez,Bangalore",France,N6,Indl. Machnry For Dairy Etc,None,0,890,73951
01-03-20,Maharashtra,27,Mumbai Air,Korea Rp,H8,"Drug Formulations, Biologicals",Kgs,2741,1031163,76667690
01-03-23,Tamil Nadu,33,J Matadee Chennai,Poland,M7,Machine Tools,None,0,15310,1259835
01-05-18,Delhi,7,Delhi (Icd),Korea Rp,L2,Other Plastic Items,None,0,495804,33486307
01-03-18,Maharashtra,27,Mumbai Air,Unspecified,N7,"Atm, Injctng Mlding Mchnry Etc",None,0,12343,802547
01-07-21,Tamil Nadu,33,Tuticorin Sea,Brazil,K1,Plywood And Allied Products,None,0,403523,30073344
01-10-18,Tamil Nadu,33,Chennai Sea,Taiwan,L6,Copper And Prdcts Made Of Copr,None,0,726692,53507975
01-09-22,Gujarat,24,Epz/Sez Surat,U K,Q3,"Manmade Yarn,Fabrics,Madeups",None,0,13437,1078052
01-12-21,Delhi,7,Delhi Air,France,M8,Medical And Scientific Instrum,None,0,4098187,308890608
01-10-22,Kerala,32,Trivandrum Airport,Denmark,O1,Other Misc. Engineering Items,None,0,434,35768
01-10-22,Karnataka,29,Bangalore Airport,France,ZZ,Other Commodities,None,0,286506,23590848
01-08-20,Delhi,7,Delhi Air,Japan,J7,"Books, Publications And Prntng",None,0,40694,3038665
01-02-21,Uttar Pradesh,9,Cfs Startrack Dadri,Indonesia,K1,Plywood And Allied Products,None,0,97854,7119521
01-01-24,Tamil Nadu,33,Chennai Air,Malaysia,O9,"Computer Hardware, Peripherals",None,0,13570520,1127995318
01-01-23,Telangana,36,Icd Hyderabad,Singapore,I7,Residul Chemicl And Alled Prod,None,0,8803,720945
01-05-18,Delhi,7,Cfs Patparganj,U K,B1,Spices,Kgs,1440,20614,1392286
01-11-22,Rajasthan,8,Jaipur A.C.,Kenya,G5,"Pearl, Precs, Semiprecs Stones",None,0,38531,3152236
01-06-21,Maharashtra,27,Maha Airport Dev Corp Nagpur,Germany,O3,Pumps Of All Types,None,0,1400,103008
01-01-18,Tamil Nadu,33,Chennai Air,Belgium,I5,Cosmetics And Toiletries,None,0,46035,2929529
01-03-20,Karnataka,29,Newmangalore  Sea,China P Rp,J2,"Paint, Varnish And Allid Prodc",Kgs,60000,128394,9546212
01-03-23,Tamil Nadu,33,Chennai Sea,Korea Rp,L1,"Stationry/Offce, School Supply",None,0,3165,260428
01-04-21,Telangana,36,Hyderabad Airport,U S A,K4,Optical Items (Incl.Lens Etc),None,0,10776,802528
01-02-22,Tamil Nadu,33,Acc Coimbatore,U Arab Emts,P2,Electronics Components,None,0,698,52386
01-06-18,Tamil Nadu,33,Chennai Sea,Indonesia,I8,Auto Tyres And Tubes,Nos,3598,90966,6166845
01-05-19,Tamil Nadu,33,Chennai Air,Bangladesh Pr,M2,Oth Non Ferous Metal And Prodc,None,0,2584,180281
01-12-18,Tamil Nadu,33,Kattupalli Port/ Tiruvallur,Netherland,P3,Electronics Instruments,None,0,597835,42285547
01-01-23,Maharashtra,27,Mumbai Air,France,N6,Indl. Machnry For Dairy Etc,None,0,2413036,197626741
01-06-19,Tripura,16,Lcs Manu,Bangladesh Pr,J9,"Paper, Paper Board And Product",None,0,11893,825827
